index	sample_int24
0	-2872
1	1115
2	1392
3	6096
4	7778
5	9727
6	11856
7	10745
8	8313
9	6150
10	510
11	-1822
12	-4504
13	-7200
14	-6975
15	-5635
16	-2680
17	-759
18	3233
19	4294
20	8015
21	8187
22	12191
23	10715
24	10621
25	7770
26	5033
27	961
28	-1031
29	-2431
30	-2544
31	-3198
32	-4037
33	-3191
34	873
35	2051
36	6932
37	8100
38	8170
39	6671
40	7430
41	4802
42	5538
43	2905
44	2744
45	-738
46	-891
47	-5113
48	-4193
49	-3997
50	-2240
51	-874
52	2239
53	3349
54	5285
55	6770
56	8891
57	5498
58	5630
59	4215
60	2431
61	1338
62	497
63	-880
64	-843
65	-151
66	436
67	2509
68	2424
69	1209
70	1192
71	419
72	1136
73	1436
74	2275
75	1673
76	827
77	-993
78	-2000
79	-685
80	-256
81	104
82	-375
83	-2465
84	-2513
85	-2264
86	-2307
87	-3448
88	-4158
89	-3819
90	-3768
91	-2491
92	-2651
93	-2404
94	-1457
95	-1304
96	-369
97	235
98	-483
99	-47
100	-246
101	718
102	-146
103	503
104	-1568
105	-1496
106	-2338
107	-1115
108	-1670
109	-153
110	-193
111	902
112	1238
113	2693
114	3366
115	3547
116	2369
117	1542
118	-786
119	-1272
120	-3450
121	-3713
122	-4942
123	-4738
124	-4924
125	-4614
126	-3348
127	-3247
128	-1840
129	-1195
130	906
131	1136
132	467
133	1083
134	-564
135	-2651
136	-2518
137	-3717
138	-4124
139	-3568
140	-3366
141	-2958
142	-2003
143	-1263
144	-1091
145	634
146	-540
147	-176
148	-8
149	-312
150	-756
151	-1483
152	-2625
153	-3986
154	-3230
155	-4600
156	-4700
157	-4560
158	-4059
159	-3293
160	-765
161	-1911
162	-382
163	-1030
164	266
165	-1217
166	-1373
167	-3630
168	-2471
169	-3056
170	-3930
171	-4706
172	-4405
173	-5731
174	-4430
175	-4652
176	-1778
177	-1939
178	-1090
179	-1635
180	-863
181	-917
182	149
183	-172
184	-504
185	-1184
186	-3116
187	-3174
188	-4703
189	-5583
190	-4864
191	-4648
192	-2913
193	-2031
194	-265
195	-855
196	-334
197	-1228
198	-364
199	-1072
200	515
201	-1982
202	-2403
203	-3692
204	-4417
205	-4229
206	-4113
207	-3343
208	-3830
209	-2565
210	-1538
211	-1415
212	-901
213	303
214	-932
215	331
216	-2058
217	-2284
218	-3988
219	-4205
220	-3986
221	-2637
222	-4015
223	-2475
224	-2472
225	-657
226	-1292
227	-939
228	-453
229	-328
230	-922
231	-30
232	-1371
233	-1615
234	-3320
235	-3928
236	-5007
237	-5057
238	-5341
239	-4308
240	-2068
241	-881
242	296
243	1020
244	2462
245	2865
246	2149
247	1462
248	-286
249	-14
250	-1446
251	-2649
252	-3510
253	-4451
254	-4267
255	-3720
256	-3939
257	-2426
258	-2624
259	-387
260	286
261	2025
262	768
263	652
264	462
265	-1101
266	-1299
267	-1758
268	-3618
269	-1584
270	-3424
271	-2547
272	-1611
273	-2021
274	-91
275	-84
276	796
277	1347
278	2813
279	1403
280	2795
281	1052
282	1602
283	-981
284	-525
285	-1733
286	-1237
287	-1888
288	-327
289	-55
290	-300
291	-1856
292	670
293	-1320
294	-1384
295	-936
296	-962
297	-2060
298	-2780
299	-2905
300	-3329
301	-4588
302	-2467
303	-4108
304	-2395
305	-2877
306	-1250
307	315
308	-174
309	832
310	1461
311	2559
312	2871
313	872
314	1242
315	-224
316	-1550
317	-1327
318	-2148
319	-2904
320	-2955
321	-2552
322	-2239
323	-2119
324	-1495
325	-1496
326	-1537
327	-1467
328	-1757
329	-548
330	-680
331	-364
332	-752
333	-1119
334	-1162
335	-992
336	-1442
337	-938
338	-1740
339	921
340	-304
341	241
342	52
343	1270
344	-625
345	1378
346	670
347	-6
348	-594
349	-305
350	-163
351	-565
352	-580
353	-280
354	-176
355	-287
356	301
357	1130
358	1114
359	930
360	862
361	1629
362	2020
363	1575
364	598
365	-1311
366	-1385
367	-1083
368	-396
369	-640
370	212
371	-596
372	744
373	-13
374	576
375	1200
376	660
377	811
378	444
379	1364
380	566
381	2134
382	650
383	2027
384	912
385	1882
386	584
387	722
388	-484
389	-941
390	-1097
391	107
392	-534
393	633
394	108
395	524
396	-4
397	1654
398	1084
399	-188
400	-540
401	-313
402	-186
403	-108
404	430
405	1205
406	1409
407	1080
408	1199
409	722
410	880
411	796
412	-318
413	-809
414	-291
415	-221
416	-266
417	-494
418	-134
419	-338
420	-357
421	-550
422	1305
423	-1012
424	233
425	1017
426	394
427	-891
428	-943
429	-802
430	-1308
431	-802
432	-870
433	-1380
434	-1879
435	-2073
436	-2199
437	-1795
438	-1599
439	-1352
440	-963
441	-644
442	122
443	-10
444	80
445	282
446	15
447	-993
448	-111
449	-607
450	-331
451	-564
452	-79
453	-1224
454	-1900
455	-1141
456	39
457	-1861
458	-1625
459	-2513
460	-2441
461	-2126
462	-1608
463	-406
464	-396
465	-618
466	1333
467	1004
468	1919
469	816
470	1594
471	-277
472	117
473	-825
474	-683
475	-2815
476	-2300
477	-2209
478	-1728
479	-2032
480	-1116
481	-2049
482	-1739
483	-1170
484	-1096
485	-2129
486	-1321
487	-930
488	-265
489	499
490	-226
491	-144
492	-56
493	436
494	-1131
495	-63
496	-218
497	61
498	353
499	300
500	271
501	472
502	-107
503	-337
504	784
505	443
506	457
507	347
508	-628
509	203
510	-65
511	135
512	-205
513	-694
514	-972
515	-530
516	-433
517	-625
518	142
519	-306
520	593
521	292
522	-411
523	-257
524	326
525	54
526	629
527	661
528	-97
529	1115
530	-1243
531	114
532	-385
533	698
534	-506
535	422
536	1528
537	939
538	866
539	1401
540	79
541	154
542	-609
543	-2083
544	-2348
545	-2058
546	-1993
547	-1311
548	-1092
549	1016
550	612
551	1010
552	1765
553	1482
554	1020
555	697
556	228
557	796
558	61
559	799
560	-600
561	-1203
562	-848
563	-2158
564	-452
565	-183
566	-830
567	582
568	-254
569	-22
570	-84
571	326
572	1083
573	1320
574	1497
575	639
576	614
577	-630
578	-926
579	-1036
580	-1127
581	-643
582	-569
583	152
584	376
585	1140
586	1064
587	1707
588	631
589	406
590	769
591	1004
592	-340
593	-219
594	-353
595	839
596	-445
597	-502
598	-906
599	-848
600	-335
601	-634
602	-126
603	-921
604	-996
605	-727
606	-963
607	-477
608	-1136
609	-809
610	-792
611	-2526
612	-592
613	-2508
614	-441
615	-1199
616	-327
617	-968
618	-523
619	-722
620	7
621	-877
622	569
623	-1672
624	-279
625	-1727
626	-993
627	-2204
628	-781
629	-3187
630	-1403
631	-1764
632	-895
633	-5082
634	-3248
635	-4888
636	-4599
637	-5526
638	-5809
639	-5801
640	-5765
641	-6665
642	-6059
643	-6318
644	-3563
645	-4525
646	-3620
647	-4038
648	-2559
649	-1754
650	-2734
651	-2051
652	-3729
653	-1935
654	-3524
655	-3881
656	-4797
657	-2955
658	-4281
659	-4325
660	-4810
661	-4102
662	-3782
663	-3242
664	-4297
665	-2654
666	-3122
667	-1101
668	-3467
669	-2180
670	-4370
671	-5110
672	-5610
673	-4572
674	-5332
675	-4170
676	-6324
677	-6026
678	-4678
679	-3055
680	-2863
681	-2447
682	-2260
683	-2182
684	-2910
685	-3237
686	-4515
687	-2649
688	-4882
689	-2716
690	-5433
691	-3467
692	-3261
693	-3019
694	-3065
695	-1580
696	-2214
697	-957
698	-1323
699	-1844
700	-3277
701	-2568
702	-3994
703	-3157
704	-3046
705	-3090
706	-3759
707	-3397
708	-3848
709	-2819
710	-1117
711	-1456
712	-312
713	-778
714	-562
715	-2341
716	-500
717	-2701
718	-2070
719	-3605
720	-4271
721	-3858
722	-3461
723	-4213
724	-1704
725	-1923
726	-1070
727	-1600
728	-1353
729	-863
730	-1053
731	-781
732	-541
733	-148
734	-828
735	-1893
736	-1954
737	-2498
738	-2483
739	-4212
740	-3750
741	-4050
742	-3287
743	-3820
744	-3595
745	-2704
746	-3750
747	-2590
748	-2407
749	-2911
750	-2188
751	-3585
752	-2672
753	-1638
754	-2424
755	-2184
756	-1524
757	-2659
758	-2318
759	-1699
760	-1821
761	-276
762	-588
763	603
764	-607
765	-675
766	-2292
767	-1143
768	-3976
769	-2551
770	-3648
771	-3291
772	-3918
773	-2908
774	-3516
775	-2128
776	-2036
777	486
778	-508
779	1619
780	1525
781	636
782	88
783	277
784	-1611
785	-1148
786	-2721
787	-2583
788	-3315
789	-2608
790	-4095
791	-2362
792	-3408
793	-2014
794	-3286
795	-2611
796	-2102
797	-2135
798	-2034
799	-2171
800	-272
801	-143
802	-471
803	-278
804	-249
805	-324
806	229
807	-58
808	1668
809	-51
810	87
811	-809
812	-1134
813	-1190
814	-444
815	-1896
816	-786
817	-970
818	-757
819	-1155
820	-460
821	-1763
822	-1911
823	-1690
824	-1490
825	-2144
826	-1402
827	-1652
828	59
829	-1508
830	2069
831	-452
832	1260
833	-522
834	262
835	-1243
836	-834
837	-2156
838	-390
839	-2502
840	-2205
841	-2838
842	-2165
843	-3525
844	-1430
845	-3047
846	-611
847	-2853
848	-498
849	-1592
850	-1208
851	-1260
852	-1808
853	-1535
854	-858
855	-1146
856	-1741
857	-1865
858	-2210
859	-2095
860	-2403
861	-1935
862	-3450
863	-4131
864	-4052
865	-2260
866	-2931
867	-1958
868	-2301
869	-1681
870	-1334
871	-857
872	-1177
873	-1009
874	-985
875	-2258
876	-1766
877	-1617
878	-1826
879	-2298
880	-2624
881	-3264
882	-3382
883	-2714
884	-4345
885	-2912
886	-4062
887	-3352
888	-2121
889	-2217
890	-3747
891	-2676
892	-4347
893	-3939
894	-3528
895	-4922
896	-3511
897	-2503
898	-2622
899	-722
900	-2084
901	-2234
902	-3124
903	-1605
904	-2826
905	-1095
906	-2653
907	-2372
908	-2170
909	-2225
910	-4003
911	-3550
912	-3487
913	-3496
914	-4552
